time,pwf
0.00000,3000
0.02183,2953
0.02733,2942
0.03283,2930
0.03817,2919
0.04367,2908
0.04917,2897
0.05467,2886
0.10900,2785
0.16400,2693
0.21833,2611
0.27333,2536
0.32833,2469
0.38167,2408
0.43667,2352
0.54667,2256
1.09000,1952
1.64000,1828
2.18333,1768
2.73333,1734
3.28333,1712
3.81667,1696
4.36667,1684
4.91667,1674
5.46667,1665
6.55000,1651
8.73333,1630
10.90000,1614
16.40000,1587
